# time, velocity, voltage, acceleration, goal, lastError
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.010000, 0.000000, 12.000000, 0.886733, 6.283185, 6.283185
0.020000, 0.008956, 12.000000, 0.886735, 6.283185, 6.274229
0.030000, 0.017912, 12.000000, 0.886736, 6.283185, 6.265273
0.040000, 0.026868, 12.000000, 0.886738, 6.283185, 6.256317
0.050000, 0.035824, 12.000000, 0.886740, 6.283185, 6.247361
0.060000, 0.044780, 12.000000, 0.886741, 6.283185, 6.238405
0.070000, 0.053736, 12.000000, 0.886743, 6.283185, 6.229449
0.080000, 0.062692, 12.000000, 0.886745, 6.283185, 6.220493
0.090000, 0.071649, 12.000000, 0.886747, 6.283185, 6.211537
0.100000, 0.080605, 12.000000, 0.886748, 6.283185, 6.202581
0.110000, 0.089561, 12.000000, 0.886750, 6.283185, 6.193624
0.120000, 0.098517, 12.000000, 0.886752, 6.283185, 6.184668
0.130000, 0.107473, 12.000000, 0.886753, 6.283185, 6.175712
0.140000, 0.116429, 12.000000, 0.886755, 6.283185, 6.166756
0.150000, 0.125386, 12.000000, 0.886757, 6.283185, 6.157800
0.160000, 0.134342, 12.000000, 0.886759, 6.283185, 6.148843
0.170000, 0.143298, 12.000000, 0.886760, 6.283185, 6.139887
0.180000, 0.152255, 12.000000, 0.886762, 6.283185, 6.130931
0.190000, 0.161211, 12.000000, 0.886764, 6.283185, 6.121974
0.200000, 0.170167, 12.000000, 0.886765, 6.283185, 6.113018
0.210000, 0.179123, 12.000000, 0.886767, 6.283185, 6.104062
0.220000, 0.188080, 12.000000, 0.886769, 6.283185, 6.095105
0.230000, 0.197036, 12.000000, 0.886770, 6.283185, 6.086149
0.240000, 0.205993, 12.000000, 0.886772, 6.283185, 6.077193
0.250000, 0.214949, 12.000000, 0.886774, 6.283185, 6.068236
0.260000, 0.223905, 12.000000, 0.886776, 6.283185, 6.059280
0.270000, 0.232862, 12.000000, 0.886777, 6.283185, 6.050323
0.280000, 0.241818, 12.000000, 0.886779, 6.283185, 6.041367
0.290000, 0.250775, 12.000000, 0.886781, 6.283185, 6.032410
0.300000, 0.259731, 12.000000, 0.886782, 6.283185, 6.023454
0.310000, 0.268688, 12.000000, 0.886784, 6.283185, 6.014497
0.320000, 0.277644, 12.000000, 0.886786, 6.283185, 6.005541
0.330000, 0.286601, 12.000000, 0.886788, 6.283185, 5.996584
0.340000, 0.295557, 12.000000, 0.886789, 6.283185, 5.987628
0.350000, 0.304514, 12.000000, 0.886791, 6.283185, 5.978671
0.360000, 0.313471, 12.000000, 0.886793, 6.283185, 5.969715
0.370000, 0.322427, 12.000000, 0.886794, 6.283185, 5.960758
0.380000, 0.331384, 12.000000, 0.886796, 6.283185, 5.951801
0.390000, 0.340341, 12.000000, 0.886798, 6.283185, 5.942845
0.400000, 0.349297, 12.000000, 0.886800, 6.283185, 5.933888
0.410000, 0.358254, 12.000000, 0.886801, 6.283185, 5.924931
0.420000, 0.367211, 12.000000, 0.886803, 6.283185, 5.915975
0.430000, 0.376167, 12.000000, 0.886805, 6.283185, 5.907018
0.440000, 0.385124, 12.000000, 0.886806, 6.283185, 5.898061
0.450000, 0.394081, 12.000000, 0.886808, 6.283185, 5.889105
0.460000, 0.403038, 12.000000, 0.886810, 6.283185, 5.880148
0.470000, 0.411994, 12.000000, 0.886812, 6.283185, 5.871191
0.480000, 0.420951, 12.000000, 0.886813, 6.283185, 5.862234
0.490000, 0.429908, 12.000000, 0.886815, 6.283185, 5.853277
0.500000, 0.438865, 12.000000, 0.886817, 6.283185, 5.844320
0.510000, 0.447822, 12.000000, 0.886818, 6.283185, 5.835364
0.520000, 0.456779, 12.000000, 0.886820, 6.283185, 5.826407
0.530000, 0.465735, 12.000000, 0.886822, 6.283185, 5.817450
0.540000, 0.474692, 12.000000, 0.886824, 6.283185, 5.808493
0.550000, 0.483649, 12.000000, 0.886825, 6.283185, 5.799536
0.560000, 0.492606, 12.000000, 0.886827, 6.283185, 5.790579
0.570000, 0.501563, 12.000000, 0.886829, 6.283185, 5.781622
0.580000, 0.510520, 12.000000, 0.886830, 6.283185, 5.772665
0.590000, 0.519477, 12.000000, 0.886832, 6.283185, 5.763708
0.600000, 0.528434, 12.000000, 0.886834, 6.283185, 5.754751
0.610000, 0.537391, 12.000000, 0.886836, 6.283185, 5.745794
0.620000, 0.546348, 12.000000, 0.886837, 6.283185, 5.736837
0.630000, 0.555305, 12.000000, 0.886839, 6.283185, 5.727880
0.640000, 0.564262, 12.000000, 0.886841, 6.283185, 5.718923
0.650000, 0.573220, 12.000000, 0.886842, 6.283185, 5.709966
0.660000, 0.582177, 12.000000, 0.886844, 6.283185, 5.701009
0.670000, 0.591134, 12.000000, 0.886846, 6.283185, 5.692052
0.680000, 0.600091, 12.000000, 0.886848, 6.283185, 5.683094
0.690000, 0.609048, 12.000000, 0.886849, 6.283185, 5.674137
0.700000, 0.618005, 12.000000, 0.886851, 6.283185, 5.665180
0.710000, 0.626962, 12.000000, 0.886853, 6.283185, 5.656223
0.720000, 0.635920, 12.000000, 0.886854, 6.283185, 5.647266
0.730000, 0.644877, 12.000000, 0.886856, 6.283185, 5.638308
0.740000, 0.653834, 12.000000, 0.886858, 6.283185, 5.629351
0.750000, 0.662791, 12.000000, 0.886860, 6.283185, 5.620394
0.760000, 0.671749, 12.000000, 0.886861, 6.283185, 5.611437
0.770000, 0.680706, 12.000000, 0.886863, 6.283185, 5.602479
0.780000, 0.689663, 12.000000, 0.886865, 6.283185, 5.593522
0.790000, 0.698621, 12.000000, 0.886866, 6.283185, 5.584565
0.800000, 0.707578, 12.000000, 0.886868, 6.283185, 5.575607
0.810000, 0.716535, 12.000000, 0.886870, 6.283185, 5.566650
0.820000, 0.725493, 12.000000, 0.886872, 6.283185, 5.557692
0.830000, 0.734450, 12.000000, 0.886873, 6.283185, 5.548735
0.840000, 0.743408, 12.000000, 0.886875, 6.283185, 5.539778
0.850000, 0.752365, 12.000000, 0.886877, 6.283185, 5.530820
0.860000, 0.761323, 12.000000, 0.886878, 6.283185, 5.521863
0.870000, 0.770280, 12.000000, 0.886880, 6.283185, 5.512905
0.880000, 0.779238, 12.000000, 0.886882, 6.283185, 5.503948
0.890000, 0.788195, 12.000000, 0.886884, 6.283185, 5.494990
0.900000, 0.797153, 12.000000, 0.886885, 6.283185, 5.486033
0.910000, 0.806110, 12.000000, 0.886887, 6.283185, 5.477075
0.920000, 0.815068, 12.000000, 0.886889, 6.283185, 5.468118
0.930000, 0.824025, 12.000000, 0.886890, 6.283185, 5.459160
0.940000, 0.832983, 12.000000, 0.886892, 6.283185, 5.450202
0.950000, 0.841941, 12.000000, 0.886894, 6.283185, 5.441245
0.960000, 0.850898, 12.000000, 0.886895, 6.283185, 5.432287
0.970000, 0.859856, 12.000000, 0.886897, 6.283185, 5.423329
0.980000, 0.868813, 12.000000, 0.886899, 6.283185, 5.414372
0.990000, 0.877771, 12.000000, 0.886901, 6.283185, 5.405414
1.000000, 0.886729, 12.000000, 0.886902, 6.283185, 5.396456
1.010000, 0.895687, 12.000000, 0.886904, 6.283185, 5.387499
1.020000, 0.904644, 12.000000, 0.886906, 6.283185, 5.378541
1.030000, 0.913602, 12.000000, 0.886907, 6.283185, 5.369583
1.040000, 0.922560, 12.000000, 0.886909, 6.283185, 5.360625
1.050000, 0.931518, 12.000000, 0.886911, 6.283185, 5.351668
1.060000, 0.940475, 12.000000, 0.886913, 6.283185, 5.342710
1.070000, 0.949433, 12.000000, 0.886914, 6.283185, 5.333752
1.080000, 0.958391, 12.000000, 0.886916, 6.283185, 5.324794
1.090000, 0.967349, 12.000000, 0.886918, 6.283185, 5.315836
1.100000, 0.976307, 12.000000, 0.886919, 6.283185, 5.306878
